isSolution;discardedSolutions;timeFirstSolution;timeQuery;timeAStar;timeTotal;solution
true;13;14;407;19;442;root&http://acg.ual.es/wookie/widgets/map08&http://acg.ual.es/wookie/widgets/cloudStorage15&http://acg.ual.es/wookie/widgets/header16&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22
true;21;15;359;23;398;root&http://acg.ual.es/wookie/widgets/map04&http://acg.ual.es/wookie/widgets/cloudStorage06&http://acg.ual.es/wookie/widgets/header05&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22
true;2;13;481;14;516;root&http://acg.ual.es/wookie/widgets/map04&http://acg.ual.es/wookie/widgets/cloudStorage12&http://acg.ual.es/wookie/widgets/header12&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22
true;22;15;396;23;440;root&http://acg.ual.es/wookie/widgets/map08&http://acg.ual.es/wookie/widgets/cloudStorage05&http://acg.ual.es/wookie/widgets/header02&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22
true;19;13;499;19;561;root&http://acg.ual.es/wookie/widgets/map14&http://acg.ual.es/wookie/widgets/cloudStorage03&http://acg.ual.es/wookie/widgets/header04&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22
true;12;14;390;19;444;root&http://acg.ual.es/wookie/widgets/map08&http://acg.ual.es/wookie/widgets/cloudStorage19&http://acg.ual.es/wookie/widgets/header08&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22
true;18;14;361;20;403;root&http://acg.ual.es/wookie/widgets/map14&http://acg.ual.es/wookie/widgets/cloudStorage06&http://acg.ual.es/wookie/widgets/header17&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22
true;7;13;395;16;428;root&http://acg.ual.es/wookie/widgets/map11&http://acg.ual.es/wookie/widgets/cloudStorage12&http://acg.ual.es/wookie/widgets/header07&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22
true;30;15;383;55;457;root&http://acg.ual.es/wookie/widgets/map14&http://acg.ual.es/wookie/widgets/cloudStorage06&http://acg.ual.es/wookie/widgets/header06&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22
true;28;14;51;24;87;root&http://acg.ual.es/wookie/widgets/map04&http://acg.ual.es/wookie/widgets/cloudStorage05&http://acg.ual.es/wookie/widgets/header12&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22
true;7;14;66;16;89;root&http://acg.ual.es/wookie/widgets/map08&http://acg.ual.es/wookie/widgets/cloudStorage15&http://acg.ual.es/wookie/widgets/header17&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22
true;13;15;64;19;89;root&http://acg.ual.es/wookie/widgets/map08&http://acg.ual.es/wookie/widgets/cloudStorage12&http://acg.ual.es/wookie/widgets/header05&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22
true;6;13;64;15;82;root&http://acg.ual.es/wookie/widgets/map11&http://acg.ual.es/wookie/widgets/cloudStorage07&http://acg.ual.es/wookie/widgets/header13&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22
true;2;15;117;15;140;root&http://acg.ual.es/wookie/widgets/map11&http://acg.ual.es/wookie/widgets/cloudStorage06&http://acg.ual.es/wookie/widgets/header07&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22
true;21;10;136;28;227;root&http://acg.ual.es/wookie/widgets/map04&http://acg.ual.es/wookie/widgets/header07&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder01
true;24;11;135;34;209;root&http://acg.ual.es/wookie/widgets/map08&http://acg.ual.es/wookie/widgets/header08&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder01
true;6;11;100;17;136;root&http://acg.ual.es/wookie/widgets/map08&http://acg.ual.es/wookie/widgets/header13&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder02
true;9;11;84;19;115;root&http://acg.ual.es/wookie/widgets/map08&http://acg.ual.es/wookie/widgets/header07&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder02
true;31;11;107;39;159;root&http://acg.ual.es/wookie/widgets/map11&http://acg.ual.es/wookie/widgets/header02&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder02
true;18;10;107;26;141;root&http://acg.ual.es/wookie/widgets/map04&http://acg.ual.es/wookie/widgets/header14&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder01
true;27;11;138;35;182;root&http://acg.ual.es/wookie/widgets/map14&http://acg.ual.es/wookie/widgets/header02&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder01
true;33;13;123;48;180;root&http://acg.ual.es/wookie/widgets/map04&http://acg.ual.es/wookie/widgets/header08&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder01
true;42;11;142;49;210;root&http://acg.ual.es/wookie/widgets/map11&http://acg.ual.es/wookie/widgets/header14&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder01
true;31;11;136;38;186;root&http://acg.ual.es/wookie/widgets/map11&http://acg.ual.es/wookie/widgets/header14&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder01
true;24;15;185;39;271;root&http://acg.ual.es/wookie/widgets/map11&http://acg.ual.es/wookie/widgets/cloudStorage01&http://acg.ual.es/wookie/widgets/header14&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder02
true;33;17;162;53;241;root&http://acg.ual.es/wookie/widgets/map14&http://acg.ual.es/wookie/widgets/cloudStorage12&http://acg.ual.es/wookie/widgets/header04&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder02
true;3;14;197;17;236;root&http://acg.ual.es/wookie/widgets/map04&http://acg.ual.es/wookie/widgets/cloudStorage06&http://acg.ual.es/wookie/widgets/header04&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder01
true;28;15;195;44;254;root&http://acg.ual.es/wookie/widgets/map04&http://acg.ual.es/wookie/widgets/cloudStorage07&http://acg.ual.es/wookie/widgets/header03&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder01
true;21;16;206;38;262;root&http://acg.ual.es/wookie/widgets/map11&http://acg.ual.es/wookie/widgets/cloudStorage06&http://acg.ual.es/wookie/widgets/header19&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder02
true;42;16;201;64;281;root&http://acg.ual.es/wookie/widgets/map08&http://acg.ual.es/wookie/widgets/cloudStorage03&http://acg.ual.es/wookie/widgets/header05&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder02
true;4;14;247;18;287;root&http://acg.ual.es/wookie/widgets/map04&http://acg.ual.es/wookie/widgets/cloudStorage17&http://acg.ual.es/wookie/widgets/header13&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder02
true;33;18;228;56;302;root&http://acg.ual.es/wookie/widgets/map04&http://acg.ual.es/wookie/widgets/cloudStorage08&http://acg.ual.es/wookie/widgets/header16&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder01
true;25;16;232;43;307;root&http://acg.ual.es/wookie/widgets/map14&http://acg.ual.es/wookie/widgets/cloudStorage15&http://acg.ual.es/wookie/widgets/header09&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder01
true;30;15;225;46;289;root&http://acg.ual.es/wookie/widgets/map04&http://acg.ual.es/wookie/widgets/cloudStorage06&http://acg.ual.es/wookie/widgets/header15&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder01
true;21;16;245;39;353;root&http://acg.ual.es/wookie/widgets/map04&http://acg.ual.es/wookie/widgets/cloudStorage17&http://acg.ual.es/wookie/widgets/header05&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder01
true;10;15;249;26;316;root&http://acg.ual.es/wookie/widgets/map14&http://acg.ual.es/wookie/widgets/cloudStorage05&http://acg.ual.es/wookie/widgets/header15&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder01
true;37;15;243;54;315;root&http://acg.ual.es/wookie/widgets/map04&http://acg.ual.es/wookie/widgets/cloudStorage06&http://acg.ual.es/wookie/widgets/header16&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder02
true;3;15;284;19;318;root&http://acg.ual.es/wookie/widgets/map11&http://acg.ual.es/wookie/widgets/cloudStorage05&http://acg.ual.es/wookie/widgets/header13&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder02
true;27;15;284;44;343;root&http://acg.ual.es/wookie/widgets/map04&http://acg.ual.es/wookie/widgets/cloudStorage03&http://acg.ual.es/wookie/widgets/header02&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder01
true;25;15;267;41;321;root&http://acg.ual.es/wookie/widgets/map08&http://acg.ual.es/wookie/widgets/cloudStorage18&http://acg.ual.es/wookie/widgets/header07&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder01
true;15;14;269;30;312;root&http://acg.ual.es/wookie/widgets/map08&http://acg.ual.es/wookie/widgets/cloudStorage03&http://acg.ual.es/wookie/widgets/header02&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder02
true;49;15;331;69;421;root&http://acg.ual.es/wookie/widgets/map14&http://acg.ual.es/wookie/widgets/cloudStorage05&http://acg.ual.es/wookie/widgets/header16&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder02
true;46;18;284;70;368;root&http://acg.ual.es/wookie/widgets/map14&http://acg.ual.es/wookie/widgets/cloudStorage18&http://acg.ual.es/wookie/widgets/header04&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder02
true;6;15;296;21;331;root&http://acg.ual.es/wookie/widgets/map04&http://acg.ual.es/wookie/widgets/cloudStorage01&http://acg.ual.es/wookie/widgets/header05&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22&http://acg.ual.es/wookie/widgets/audio04&http://acg.ual.es/wookie/widgets/video04&http://acg.ual.es/wookie/widgets/recorder02
